time,open,high,low,close,volume
2023-11-02 19:59:00,171.4800,171.5700,171.4500,171.5500,23831
2023-11-02 19:58:00,171.4400,171.5000,171.4000,171.4800,15879
2023-11-02 19:57:00,171.4000,171.5000,171.3700,171.4500,9667
2023-11-02 19:56:00,171.4000,171.4500,171.3500,171.4400,11289
2023-11-02 19:55:00,171.3600,171.4800,171.3500,171.4300,5131
2023-11-02 19:54:00,171.5100,171.5600,171.2700,171.4500,21819
2023-11-02 19:53:00,171.5600,171.5700,171.5000,171.5100,9933
2023-11-02 19:52:00,171.4500,171.5800,171.4200,171.5600,9335
2023-11-02 19:51:00,171.4000,171.5000,171.4000,171.4500,10135
2023-11-02 19:50:00,171.4400,171.4500,171.3500,171.3500,11217
2023-11-02 19:49:00,171.4900,171.5500,171.3400,171.4000,13998
2023-11-02 19:48:00,171.3200,171.5000,171.3200,171.4800,20680
2023-11-02 19:47:00,171.3000,171.3500,171.2500,171.3300,6972
2023-11-02 19:46:00,171.2500,171.3000,171.2000,171.3000,12309
2023-11-02 19:45:00,171.3600,171.3900,171.2000,171.2500,7316
2023-11-02 19:44:00,171.3500,171.3900,171.3300,171.3800,4277
2023-11-02 19:43:00,171.3500,171.3700,171.2600,171.3500,8424
2023-11-02 19:42:00,171.5100,171.5200,171.2500,171.3200,18263
2023-11-02 19:41:00,171.5400,171.5600,171.5000,171.5150,5616
2023-11-02 19:40:00,171.5400,171.5400,171.5000,171.5300,8842
2023-11-02 19:39:00,171.5350,171.5600,171.5350,171.5400,2195
2023-11-02 19:38:00,171.5400,171.5600,171.5100,171.5500,5008
2023-11-02 19:37:00,171.5600,171.6000,171.5000,171.5600,5712
2023-11-02 19:36:00,171.5900,171.6300,171.5300,171.5700,3165
2023-11-02 19:35:00,171.5900,171.6300,171.5600,171.6300,3429
2023-11-02 19:34:00,171.6000,171.6300,171.5500,171.6000,4982
2023-11-02 19:33:00,171.5900,171.6000,171.5300,171.5750,2705
2023-11-02 19:32:00,171.5100,171.5900,171.4700,171.5400,6610
2023-11-02 19:31:00,171.6600,171.6800,171.5100,171.5100,5811
2023-11-02 19:30:00,171.5600,171.7000,171.5500,171.6700,12968
2023-11-02 19:29:00,171.6600,171.6800,171.5600,171.5700,4635
2023-11-02 19:28:00,171.6500,171.7000,171.6000,171.6100,5599
2023-11-02 19:27:00,171.5900,171.6600,171.5800,171.6500,4175
2023-11-02 19:26:00,171.5500,171.6000,171.5100,171.5900,4478
2023-11-02 19:25:00,171.4000,171.6000,171.3900,171.5200,14937
2023-11-02 19:24:00,171.4200,171.5000,171.3000,171.4700,13063
2023-11-02 19:23:00,171.4600,171.6800,171.3500,171.4300,10705
2023-11-02 19:22:00,171.4500,171.5700,171.3500,171.4200,14367
2023-11-02 19:21:00,171.7000,171.7400,171.4300,171.4500,10371
2023-11-02 19:20:00,171.4500,171.8000,171.4000,171.7300,14604
2023-11-02 19:19:00,171.5800,171.6200,171.3500,171.4900,21704
2023-11-02 19:18:00,171.6000,171.7000,171.5200,171.6300,20655
2023-11-02 19:17:00,171.6200,171.6500,171.5300,171.5800,18322
2023-11-02 19:16:00,171.8300,171.8300,171.6200,171.6690,18347
2023-11-02 19:15:00,171.9000,171.9000,171.7950,171.8000,8717
2023-11-02 19:14:00,172.0700,172.1200,171.8000,171.8000,12621
2023-11-02 19:13:00,172.2500,172.2500,172.0000,172.0700,11773
2023-11-02 19:12:00,172.3100,172.3100,172.2100,172.2500,1562
2023-11-02 19:11:00,172.3500,172.3800,172.2400,172.3100,7338
2023-11-02 19:10:00,172.2900,172.4000,172.2400,172.3500,7731
2023-11-02 19:09:00,172.2000,172.3000,172.1500,172.2850,7558
2023-11-02 19:08:00,172.1800,172.2000,172.1400,172.2000,2830
2023-11-02 19:07:00,172.1600,172.3000,172.1200,172.2000,6260
2023-11-02 19:06:00,172.1400,172.1900,172.0300,172.1300,4987
2023-11-02 19:05:00,172.1400,172.2750,172.0000,172.1500,22285
2023-11-02 19:04:00,172.1400,172.2000,172.0300,172.1400,5839
2023-11-02 19:03:00,172.1700,172.2600,172.0000,172.1400,20109
2023-11-02 19:02:00,172.1800,172.3000,172.1500,172.1600,6510
2023-11-02 19:01:00,172.1500,172.3000,172.1200,172.2000,11556
2023-11-02 19:00:00,172.1600,172.3600,172.1000,172.1500,12818
2023-11-02 18:59:00,172.2300,172.3000,172.1100,172.2900,31206
2023-11-02 18:58:00,172.5000,172.5500,172.1700,172.1800,17672
2023-11-02 18:57:00,172.6100,172.6400,172.4800,172.4800,17135
2023-11-02 18:56:00,172.5500,172.6600,172.5500,172.6400,6594
2023-11-02 18:55:00,172.6900,172.6900,172.5500,172.5800,4612
2023-11-02 18:54:00,172.7000,172.7400,172.6000,172.6000,5788
2023-11-02 18:53:00,172.7900,172.7900,172.6000,172.7000,7594
2023-11-02 18:52:00,172.9000,172.9000,172.7500,172.7500,18233
2023-11-02 18:51:00,172.7100,172.9000,172.7100,172.9000,8060
2023-11-02 18:50:00,172.7200,172.7900,172.5900,172.7100,6866
2023-11-02 18:49:00,172.6900,172.8100,172.6700,172.7400,9465
2023-11-02 18:48:00,172.5900,172.7000,172.5800,172.7000,6039
2023-11-02 18:47:00,172.5900,172.5900,172.5300,172.5800,10653
2023-11-02 18:46:00,172.5500,172.6300,172.5100,172.5900,14515
2023-11-02 18:45:00,172.7000,172.7400,172.5200,172.5200,6832
2023-11-02 18:44:00,172.7000,172.7500,172.6100,172.7400,7134
2023-11-02 18:43:00,172.8300,172.8300,172.6100,172.6650,9469
2023-11-02 18:42:00,172.7500,172.8400,172.5500,172.7600,8251
2023-11-02 18:41:00,172.9200,172.9200,172.7500,172.7500,12096
2023-11-02 18:40:00,173.0650,173.0650,172.8000,172.9200,18334
2023-11-02 18:39:00,172.9500,173.1100,172.9500,173.0900,30487
2023-11-02 18:38:00,172.8700,172.9600,172.8310,172.9500,20872
2023-11-02 18:37:00,172.7590,172.8650,172.7150,172.8600,12785
2023-11-02 18:36:00,172.7400,172.7500,172.7100,172.7400,6230
2023-11-02 18:35:00,172.5700,172.7500,172.5100,172.7500,19114
2023-11-02 18:34:00,172.5900,172.6000,172.5100,172.5700,9799
2023-11-02 18:33:00,172.6200,172.6500,172.5700,172.6000,7160
2023-11-02 18:32:00,172.7300,172.7500,172.6300,172.6300,5888
2023-11-02 18:31:00,172.6700,172.7200,172.6000,172.7100,11036
2023-11-02 18:30:00,172.7700,172.7900,172.6500,172.6600,6717
2023-11-02 18:29:00,172.7500,172.7900,172.7300,172.7750,11314
2023-11-02 18:28:00,172.7200,172.8000,172.7000,172.7500,7679
2023-11-02 18:27:00,172.7800,172.9000,172.7100,172.7400,19802
2023-11-02 18:26:00,172.7000,172.8700,172.7000,172.7800,34457
2023-11-02 18:25:00,172.4500,172.7400,172.4500,172.7000,34630
2023-11-02 18:24:00,172.3700,172.4500,172.3700,172.4200,8450
2023-11-02 18:23:00,172.3800,172.4800,172.3000,172.3700,12484
2023-11-02 18:22:00,172.3000,172.4100,172.2900,172.3600,9799
2023-11-02 18:21:00,172.3000,172.4400,172.2700,172.3000,16949
2023-11-02 18:20:00,172.3000,172.4200,172.2700,172.3000,13932
